ID,Combined_Score,Bin
NGC 1261,5.0,Likely
NGC 4147,5.0,Likely
NGC 4590,5.0,Likely
NGC 5024,5.0,Likely
NGC 5272,5.0,Likely
NGC 5634,5.0,Likely
NGC 5694,5.0,Likely
NGC 6229,5.0,Likely
NGC 6864,5.0,Likely
NGC 6981,5.0,Likely
NGC 7089,5.0,Likely
Pal 12,5.0,Likely
NGC 288,4.0,Likely
Eridanus,4.0,Likely
NGC 5466,4.0,Likely
NGC 7492,4.0,Likely
Pal 1,4.0,Likely
Pal 2,4.0,Likely
NGC 1851,4.0,Likely
NGC 1904,4.0,Likely
NGC 2298,4.0,Likely
NGC 2419,4.0,Likely
NGC 2808,4.0,Likely
IC 4499,4.0,Likely
NGC 5824,4.0,Likely
NGC 6426,4.0,Likely
NGC 6715,4.0,Likely
Terzan 7,4.0,Likely
NGC 6934,4.0,Likely
NGC 7006,4.0,Likely
NGC 7078,4.0,Likely
AM 1,3.0,Likely
Pal 3,3.0,Likely
Pal 4,3.0,Likely
NGC 5053,3.0,Likely
AM 4,3.0,Likely
Pal 5,3.0,Likely
Pal 13,3.0,Likely
Rup 106,3.0,Likely
BH 176,3.0,Likely
NGC 6101,3.0,Likely
Pal 15,2.0,Possible
Arp 2,2.0,Possible
Terzan 8,2.0,Possible
NGC 362,1.0,Possible
NGC 5904,1.0,Possible
NGC 6093,1.0,Possible
NGC 6144,1.0,Possible
NGC 6171,1.0,Possible
1636-283,1.0,Possible
NGC 6235,1.0,Possible
NGC 6273,1.0,Possible
NGC 6287,1.0,Possible
NGC 6293,1.0,Possible
NGC 6325,1.0,Possible
NGC 6333,1.0,Possible
NGC 6342,1.0,Possible
NGC 6355,1.0,Possible
HP 1,1.0,Possible
NGC 6402,1.0,Possible
NGC 6522,1.0,Possible
NGC 6528,1.0,Possible
NGC 6541,1.0,Possible
NGC 6558,1.0,Possible
NGC 6624,1.0,Possible
NGC 6637,1.0,Possible
NGC 6652,1.0,Possible
NGC 6681,1.0,Possible
NGC 6723,1.0,Possible
NGC 7099,1.0,Possible
Pyxis,1.0,Possible
NGC104,1.0,Possible
NGC288,1.0,Possible
NGC362,1.0,Possible
NGC1261,1.0,Possible
NGC1851,1.0,Possible
NGC1904,1.0,Possible
NGC2298,1.0,Possible
NGC2808,1.0,Possible
NGC3201,1.0,Possible
NGC4833,1.0,Possible
NGC5053,1.0,Possible
NGC5272,1.0,Possible
NGC5286,1.0,Possible
NGC5897,1.0,Possible
NGC5904,1.0,Possible
NGC5927,1.0,Possible
NGC5986,1.0,Possible
NGC6093,1.0,Possible
NGC6101,1.0,Possible
NGC6139,1.0,Possible
NGC6205,1.0,Possible
NGC6254,1.0,Possible
NGC6304,1.0,Possible
NGC6352,1.0,Possible
NGC6366,1.0,Possible
NGC6535,1.0,Possible
NGC6584,1.0,Possible
NGC6637,1.0,Possible
NGC6715,1.0,Possible
NGC6838,1.0,Possible
NGC6934,1.0,Possible
NGC6981,1.0,Possible
NGC7089,1.0,Possible
Ruprecht106,1.0,Possible
Whiting 1,0.0,Possible
Ko 1,0.0,Possible
Pal 14,0.0,Possible
NGC 104,0.0,Possible
NGC 3201,0.0,Possible
NGC 4833,0.0,Possible
NGC 5286,0.0,Possible
NGC 5897,0.0,Possible
NGC 5927,0.0,Possible
NGC 5946,0.0,Possible
NGC 5986,0.0,Possible
NGC 6121,0.0,Possible
NGC 6139,0.0,Possible
NGC 6205,0.0,Possible
