ID/Name,Harris_Score
NGC 288,2
Whiting 1,2
NGC 1261,2
AM 1,2
Eridanus,2
Pal 3,2
Pal 4,2
Ko 1,2
NGC 4147,2
NGC 4590,2
NGC 5024,2
NGC 5053,2
NGC 5272,2
AM 4,2
NGC 5466,2
NGC 5634,2
NGC 5694,2
Pal 5,2
Pal 14,2
NGC 6229,2
NGC 6864,2
NGC 6981,2
NGC 7089,2
Pal 12,2
Pal 13,2
NGC 7492,2
NGC 104,2
NGC 288,2
NGC 362,2
NGC 1261,2
Pal 1,2
AM 1,2
Eridanus,2
Pal 2,2
NGC 1851,2
NGC 1904,2
NGC 2298,2
NGC 2419,2
NGC 2808,2
E 3,2
Pal 3,2
NGC 3201,2
Pal 4,2
NGC 4147,2
NGC 4372,2
Rup 106,2
NGC 4590,2
NGC 4833,2
NGC 5024,2
NGC 5053,2
NGC 5139,2
NGC 5272,2
NGC 5286,2
AM 4,2
NGC 5466,2
NGC 5634,2
NGC 5694,2
IC 4499,2
NGC 5824,2
Pal 5,2
NGC 5897,2
NGC 5904,2
NGC 5927,2
NGC 5946,2
BH 176,2
NGC 5986,2
NGC 6093,2
NGC 6121,2
NGC 6101,2
NGC 6144,2
NGC 6139,2
Terzan 3,2
NGC 6171,2
1636-283,2
NGC 6205,2
NGC 6229,2
NGC 6218,2
NGC 6235,2
NGC 6254,2
NGC 6256,2
Pal 15,2
NGC 6266,2
NGC 6273,2
NGC 6284,2
NGC 6287,2
NGC 6293,2
NGC 6304,2
NGC 6316,2
NGC 6341,2
NGC 6325,2
NGC 6333,2
NGC 6342,2
NGC 6356,2
NGC 6355,2
NGC 6352,2
Terzan 2,2
NGC 6366,2
HP 1,2
NGC 6362,2
Liller 1,2
NGC 6380,2
Terzan 1,2
Ton 2,2
NGC 6388,2
NGC 6402,2
NGC 6401,2
NGC 6397,2
Pal 6,2
NGC 6426,2
Djorg 1,2
Terzan 5,2
NGC 6440,2
NGC 6441,2
Terzan 6,2
NGC 6453,2
UKS 1,2
NGC 6496,2
Terzan 9,2
Djorg 2,2
NGC 6517,2
Terzan 10,2
NGC 6522,2
NGC 6535,2
NGC 6528,2
NGC 6539,2
NGC 6540,2
NGC 6544,2
NGC 6541,2
NGC 6553,2
NGC 6558,2
IC 1276,2
Terzan 12,2
NGC 6569,2
NGC 6584,2
NGC 6624,2
NGC 6626,2
NGC 6638,2
NGC 6637,2
NGC 6642,2
NGC 6652,2
NGC 6656,2
Pal 8,2
NGC 6681,2
NGC 6712,2
NGC 6715,2
NGC 6717,2
NGC 6723,2
NGC 6749,2
NGC 6752,2
NGC 6760,2
NGC 6779,2
Terzan 7,2
Pal 10,2
Arp 2,2
NGC 6809,2
Terzan 8,2
Pal 11,2
NGC 6838,2
NGC 6864,2
NGC 6934,2
NGC 6981,2
NGC 7006,2
NGC 7078,2
NGC 7089,2
NGC 7099,2
Pal 12,2
Pal 13,2
NGC 7492,2
Pal 1,1
Pal 2,1
NGC 1851,1
NGC 1904,1
NGC 2298,1
NGC 2419,1
Ko 2,1
Pyxis,1
NGC 2808,1
Rup 106,1
IC 4499,1
NGC 5824,1
BH 176,1
NGC 6101,1
Pal 15,1
IC 1257,1
NGC 6426,1
ESO-SC06,1
NGC 6715,1
Terzan 7,1
Arp 2,1
Terzan 8,1
NGC 6934,1
NGC 7006,1
NGC 7078,1
NGC 104,1
NGC 362,1
NGC 1261,1
Pal 1,1
Pal 2,1
NGC 1851,1
NGC 1904,1
NGC 2298,1
NGC 2419,1
NGC 2808,1
NGC 3201,1
NGC 4147,1
NGC 4590,1
NGC 4833,1
NGC 5024,1
NGC 5272,1
NGC 5286,1
NGC 5634,1
NGC 5694,1
IC 4499,1
NGC 5824,1
NGC 5904,1
NGC 5927,1
NGC 5946,1
NGC 5986,1
NGC 6093,1
NGC 6121,1
NGC 6144,1
NGC 6139,1
NGC 6171,1
1636-283,1
NGC 6205,1
NGC 6229,1
NGC 6218,1
NGC 6235,1
NGC 6254,1
NGC 6256,1
NGC 6266,1
NGC 6273,1
NGC 6284,1
NGC 6287,1
NGC 6293,1
NGC 6304,1
NGC 6316,1
NGC 6341,1
NGC 6325,1
NGC 6333,1
NGC 6342,1
NGC 6356,1
NGC 6355,1
NGC 6352,1
Terzan 2,1
HP 1,1
NGC 6362,1
Liller 1,1
NGC 6380,1
Terzan 1,1
Ton 2,1
NGC 6388,1
NGC 6402,1
NGC 6401,1
NGC 6397,1
Pal 6,1
NGC 6426,1
Djorg 1,1
Terzan 5,1
NGC 6440,1
NGC 6441,1
Terzan 6,1
NGC 6453,1
UKS 1,1
NGC 6496,1
Terzan 9,1
Djorg 2,1
NGC 6517,1
Terzan 10,1
NGC 6522,1
NGC 6535,1
NGC 6528,1
NGC 6539,1
NGC 6540,1
NGC 6544,1
NGC 6541,1
NGC 6553,1
NGC 6558,1
IC 1276,1
Terzan 12,1
NGC 6569,1
NGC 6584,1
NGC 6624,1
NGC 6626,1
NGC 6638,1
NGC 6637,1
NGC 6642,1
NGC 6652,1
NGC 6656,1
Pal 8,1
NGC 6681,1
NGC 6712,1
NGC 6715,1
NGC 6717,1
NGC 6723,1
NGC 6749,1
NGC 6752,1
NGC 6760,1
NGC 6779,1
Terzan 7,1
Pal 10,1
Pal 11,1
NGC 6838,1
NGC 6864,1
NGC 6934,1
NGC 6981,1
NGC 7006,1
NGC 7078,1
NGC 7089,1
NGC 7099,1
Pal 12,1
,0
ID,0
,0
Whiting 1,0
Ko 2,0
Pyxis,0
Ko 1,0
Lynga 7,0
