ID,Krause_Score
NGC104,1
NGC288,1
NGC362,1
NGC1261,1
NGC1851,1
NGC1904,1
NGC2298,1
NGC2808,1
NGC3201,1
NGC4833,1
NGC5053,1
NGC5272,1
NGC5286,1
NGC5897,1
NGC5904,1
NGC5927,1
NGC5986,1
NGC6093,1
NGC6101,1
NGC6139,1
NGC6205,1
NGC6254,1
NGC6304,1
NGC6352,1
NGC6366,1
NGC6535,1
NGC6584,1
NGC6637,1
NGC6715,1
NGC6838,1
NGC6934,1
NGC6981,1
NGC7089,1
Ruprecht106,1
NGC4590,-1
NGC5024,-1
NGC5466,-1
NGC6121,-1
NGC6144,-1
NGC6171,-1
NGC6218,-1
NGC6341,-1
NGC6362,-1
NGC6388,-1
NGC6397,-1
NGC6441,-1
NGC6496,-1
NGC6541,-1
NGC6624,-1
NGC6652,-1
NGC6656,-1
NGC6681,-1
NGC6717,-1
NGC6723,-1
NGC6752,-1
NGC6779,-1
NGC6809,-1
NGC7078,-1
NGC7099,-1
Terzan7,-1
Palomar12,-1
